Sites,Locality,UpFC,Acari,Tropisternus,Gammaridae,Talitridae,Donacia,Diursus,Macrelemis,Haliplidae,Eulimnicus,Psephenops,Elodes,Atya,Macrobrachium,Palaemon,Pseudothelphusidae,Trichodactylidae,Alluaudonyia,Chironimidae,Anopheles,Culex,Lispe,Clognia,Simulium,Zero,Hexatoma,Limonia,Molophilus,Tipula,Baetis,Baetodes,Caenis,Isonychia,Thraulodes,Farrodes,Terpides,Ulmeristoides,Epiphrades,Haplohyphes,Leptohyphes,Carneca,Tricorythodes,Vacupernius,Thiaridae,Neritina,Bithyniidae,Big_snail_shell,Hesperocorixa,Hebrus,Buenoe,Cryphocricos,Heleocoris,Perlocoris,Microvelia,Rhagevelia,Asellidae,Paragyractis,Corydalus,Acanthagrion,Agria,Naellenia,Telebasis,Epigomphus,Progomphus,Sympetrum,Macrothemis,Heteragrion,Palaemnema,Unknown,Anacroneuria,Nereididae,Philloicus,Culaptila,Helicopsychidae,Atopsyche,Leucotrichia,Caposyche,Leptonema,Macronema,Plectropsyche,Smicridea,Synoestropsis,Atanatolica,Oecetis,Nectopsyche,Triaenenodes,Marilia,Chimarra,Polyplectopus
Rincon_Riyito,DownStream,First,0,0,133,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cerribas,DownStream,First,0,0,62,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Cienaga,DownStream,First,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrigones,DownStream,First,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,15,6,0,2,0,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,32,0,0,0,0,3,0,0,0,0,1,3,2,0,0,0,0
Cienaga,UpStream,First,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,72,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rincon_Riyito,UpStream,First,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerribas,UpStream,First,0,3,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,118,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0
Piro,DownStream,Fourth,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oro,DownStream,Fourth,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Barrigones,UpStream,Fourth,0,0,0,0,0,0,1,0,0,49,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,37,18,3,0,3,0,2,0,0,19,0,0,0,0,0,0,0,0,3,0,0,1,0,4,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0
Corozal_Platanares,UpStream,Fourth,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,18,6,1,1,0,0,0,6,0,2,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drake,UpStream,Fourth,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Oro,UpStream,Fourth,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
Sombrero,UpStream,Fourth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agujas,DownStream,Second,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,1,0,0,2,1,0,0,0
Conte,DownStream,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,2,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigre_Nuevo,DownStream,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,4,0,0,2,19,0,0,0,0
Terrones,DownStream,Second,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tigre_Nuevo,UpStream,Second,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Conte,UpStream,Second,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,8,0,5,0,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,39,0,0,0,1,0,14,1,0
Agujas,UpStream,Second,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,8,7,0,0,1,0,7,5,0,0,7,0,0,0,0,0,0,3,2,3,0,0,0,1,2,0,0,0,0,4,0,0,1,4,0,0,1,0,1,1,0,0,0,1,12,0,0,6,0,1,0,1,0,1,2,3
Terrones,UpStream,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sabalo,DownStream,Third,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,5,4,0,0,0,3,0,0,7,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
Drake,DownStream,Third,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,7,0,0,1,0,0,0,1,1,0,0,4,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corozal_Platanares,DownStream,Third,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tamales,DownStream,Third,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sombrero,DownStream,Third,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Piro,UpStream,Third,1,0,0,0,0,3,1,0,0,10,4,0,1,0,0,0,1,6,0,0,0,0,0,2,1,0,0,0,3,2,0,0,3,4,1,1,0,3,1,0,6,0,0,0,0,0,0,0,0,3,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0
Tamales,UpStream,Third,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,3,0,0,1,0,0,2,15,22,283,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,2,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sabalo,UpStream,Third,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
